,id,install_date,installed,lat,locality,locked,lon,num_bikes,num_docks,num_empty,removal_date,temporary
215,3488,2010-07-20 10:02:00,True,51.508446,"Charles II Street, West End",False,-0.131961,2,24,22,,False
216,3470,2010-07-20 10:05:00,True,51.528915,"Great Percy Street, Clerkenwell",False,-0.11548,15,23,8,,False
217,1067,2010-07-20 10:08:00,True,51.507424,"St. James's Square, St. James's",False,-0.134621,25,40,14,,False
218,1151,2010-07-20 10:23:00,True,51.506543,"Whitehall Place, Strand",False,-0.123179,4,24,20,,False
219,1144,2010-07-20 10:27:00,True,51.506692,"Poured Lines, Bankside",False,-0.103137,5,31,26,,False
220,1089,2010-07-20 11:47:00,True,51.493967,"Queen's Gate (Central), South Kensington",False,-0.178732,0,31,31,,False
221,1139,2010-07-20 11:54:00,True,51.51501,"Carey Street, Holborn",False,-0.112753,4,16,12,,False
222,1153,2010-07-20 12:11:00,True,51.50777,"Pall Mall East, West End",False,-0.130699,3,22,19,,False
223,1081,2010-07-20 12:18:00,True,51.534504,"Liverpool Road (N1 Centre), Angel",False,-0.106992,17,24,7,,False
224,1154,2010-07-20 12:34:00,True,51.495718,"Kennington Road  , Vauxhall",False,-0.110889,28,36,8,,False
225,3483,2010-07-20 12:39:00,True,51.51838,"Fashion Street, Whitechapel",False,-0.073438,20,29,8,,False
226,3467,2010-07-22 12:44:00,True,51.509786,"Dock Street, Wapping",False,-0.068161,13,30,17,,False
227,1099,2010-07-20 13:12:00,True,51.523353,"Frampton Street, Paddington",False,-0.175116,10,32,22,,False
228,1090,2010-07-20 13:16:00,True,51.524438,"Warren Street Station, Euston",False,-0.138019,8,26,17,,False
229,3472,2010-07-20 13:18:00,True,51.505459,"Colombo Street, Southwark",False,-0.105692,14,14,0,,False
230,3482,2010-07-20 13:24:00,True,51.522008,"Beaumont Street, Marylebone",False,-0.151359,8,23,14,,False
231,1103,2010-07-20 13:29:00,True,51.490962,"Gloucester Street, Pimlico",False,-0.139625,22,25,2,,False
232,1145,2010-07-20 13:34:00,True,51.516118,"Earnshaw Street , Covent Garden",False,-0.128585,11,18,7,,False
233,1140,2010-07-20 13:41:00,True,51.485357,"Grosvenor Road, Pimlico",False,-0.142207,16,29,13,,False
234,1159,2010-07-20 16:29:00,True,51.522853,"Berry Street, Clerkenwell",False,-0.099994,5,41,34,,False
235,1091,2010-07-20 16:32:00,True,51.530052,"St. John's Wood Church, The Regent's Park",False,-0.168314,29,50,21,,False
236,1088,2010-07-20 16:36:00,True,51.506451,"Triangle Car Park, Hyde Park",False,-0.170279,3,27,21,,False
237,1137,2010-07-20 16:40:00,True,51.498597,"Harper Road, The Borough",False,-0.096191,37,42,5,,False
238,3440,2010-07-20 16:50:00,True,51.489932,"Royal Avenue 1, Chelsea",False,-0.162727,8,10,2,,False
239,1161,2010-07-21 09:16:00,True,51.518908,"Brushfield Street, Liverpool Street",False,-0.079249,26,34,7,,False
240,1111,2010-07-21 09:24:00,True,51.504636,"Jubilee Gardens, South Bank",False,-0.116542,25,30,4,,False
